CD_SETOR,NUMPOINTS
"355030801000174",0
"355030801000175",0
"355030801000176",0
"355030801000177",0
"355030801000178",0
"355030801000179",1
"355030801000180",0
"355030801000181",0
"355030801000182",0
"355030801000183",0
"355030801000184",0
"355030801000185",0
"355030801000186",0
"355030801000187",0
"355030801000188",0
"355030801000189",0
"355030801000190",0
"355030801000191",0
"355030801000192",0
"355030801000193",0
"355030801000194",0
"355030801000195",0
"355030801000196",0
"355030801000197",0
"355030801000198",0
"355030801000199",0
"355030801000200",0
"355030801000201",0
"355030801000202",0
"355030801000203",0
"355030801000204",0
"355030801000205",0
"355030802000001",1
"355030802000002",1
"355030802000004",1
"355030802000006",0
"355030802000012",0
"355030802000014",0
"355030802000015",0
"355030802000016",0
"355030802000024",0
"355030802000028",0
"355030802000032",0
"355030802000033",0
"355030802000038",0
"355030802000039",0
"355030802000040",0
"355030802000041",1
"355030802000042",0
"355030802000045",0
"355030802000046",0
"355030802000048",0
"355030802000049",0
"355030802000053",0
"355030802000062",0
"355030802000063",0
"355030802000067",0
"355030802000069",0
"355030802000070",0
"355030802000071",0
"355030802000072",0
"355030802000073",0
"355030802000077",0
"355030802000078",0
"355030802000079",0
"355030802000080",0
"355030802000081",0
"355030802000082",1
"355030802000083",0
"355030802000084",0
"355030802000085",0
"355030802000086",1
"355030802000087",0
"355030802000088",0
"355030802000089",0
"355030802000090",0
"355030802000091",0
"355030802000092",0
"355030802000093",0
"355030802000094",1
"355030802000095",0
"355030802000096",0
"355030802000097",0
"355030802000098",0
"355030802000099",0
"355030802000100",0
"355030802000101",0
"355030802000102",0
"355030802000103",0
"355030802000104",0
"355030802000105",0
"355030802000106",0
"355030802000107",0
"355030802000108",0
"355030802000109",0
"355030802000110",1
"355030802000111",0
"355030802000112",0
"355030802000113",0
"355030802000114",0
"355030802000115",0
"355030802000116",0
"355030802000117",0
"355030802000118",0
"355030802000119",0
"355030802000120",0
"355030802000121",0
"355030802000122",0
"355030802000123",0
"355030802000124",0
"355030802000125",0
"355030802000126",0
"355030802000127",1
"355030802000128",0
"355030802000129",0
"355030802000130",0
"355030802000131",0
"355030802000132",0
"355030802000133",0
"355030802000134",0
"355030802000135",0
"355030802000136",0
"355030802000137",1
"355030802000138",0
"355030802000139",0
"355030802000140",0
"355030802000141",0
"355030802000142",0
"355030802000143",0
"355030802000144",0
"355030802000145",0
"355030802000146",0
"355030802000147",0
"355030802000148",0
"355030802000149",0
"355030802000150",1
"355030802000151",0
"355030802000152",0
"355030802000153",0
"355030802000154",0
"355030802000155",0
"355030802000156",0
"355030802000157",0
"355030802000158",0
"355030802000159",0
"355030802000160",0
"355030802000161",0
"355030802000162",0
"355030802000163",0
"355030802000164",0
"355030802000165",0
"355030802000166",0
"355030802000167",0
"355030802000168",0
"355030802000169",0
"355030802000170",0
"355030802000171",1
"355030802000172",0
"355030802000173",0
"355030802000174",0
"355030802000175",0
"355030802000176",0
"355030802000177",0
"355030802000178",0
"355030802000179",0
"355030802000180",0
"355030803000005",0
"355030803000013",1
"355030803000016",1
"355030803000020",1
"355030803000022",0
"355030803000023",1
"355030803000028",0
"355030803000029",0
"355030803000031",0
"355030803000051",0
"355030803000052",0
"355030803000053",1
"355030803000058",0
"355030803000066",0
"355030803000073",0
"355030803000074",0
"355030803000078",0
"355030803000080",0
"355030803000083",0
"355030803000086",0
"355030803000102",0
"355030803000104",0
"355030803000112",0
"355030803000113",0
"355030803000114",0
"355030803000116",0
"355030803000117",0
"355030803000118",0
"355030803000119",0
"355030803000120",0
"355030803000122",0
"355030803000123",0
"355030803000124",0
"355030803000125",0
"355030803000126",1
"355030803000128",0
"355030803000129",0
"355030803000130",1
"355030803000131",1
"355030803000133",0
"355030803000134",1
"355030803000136",0
"355030803000137",0
"355030803000138",3
"355030803000139",0
"355030803000140",0
"355030803000141",0
"355030803000142",0
"355030803000143",0
"355030803000144",0
"355030803000145",0
"355030803000146",0
"355030803000147",0
"355030803000148",0
"355030803000149",1
"355030803000150",0
"355030803000151",0
"355030803000152",1
"355030803000154",0
"355030803000155",0
"355030803000156",0
"355030803000157",0
"355030803000158",0
"355030803000159",0
"355030803000160",0
"355030803000161",0
"355030803000162",0
"355030803000163",0
"355030803000164",0
"355030803000165",0
"355030803000166",1
"355030803000167",0
"355030803000168",0
"355030803000169",0
"355030803000170",0
"355030803000171",0
"355030803000172",0
"355030803000173",0
"355030803000174",0
"355030803000175",0
"355030803000176",0
"355030803000177",0
"355030803000178",0
"355030803000179",0
"355030803000180",0
"355030803000181",0
"355030803000184",0
"355030803000186",0
"355030803000187",0
"355030803000188",0
"355030803000192",0
"355030803000193",1
"355030803000196",0
"355030803000197",0
"355030803000198",0
"355030803000199",0
"355030803000200",0
"355030803000201",0
"355030803000202",0
"355030803000203",0
"355030803000205",1
"355030803000208",0
"355030803000210",0
"355030803000211",0
"355030803000212",0
"355030803000213",0
"355030803000214",0
"355030803000217",0
"355030803000218",0
"355030803000220",0
"355030803000222",0
"355030803000225",0
"355030803000226",0
"355030803000228",0
"355030803000229",0
"355030803000230",0
"355030803000231",0
"355030803000232",0
"355030803000233",0
"355030803000234",0
"355030803000235",0
"355030803000236",0
"355030803000237",0
"355030803000238",0
"355030803000241",0
"355030803000242",0
"355030803000246",0
"355030803000249",1
"355030803000251",0
"355030803000252",0
"355030803000253",0
"355030803000256",0
"355030803000257",0
"355030803000258",0
"355030803000259",1
"355030803000260",0
"355030803000261",0
"355030803000262",0
"355030803000263",0
"355030803000264",0
"355030803000265",0
"355030803000266",0
"355030803000267",0
"355030803000268",0
"355030803000269",0
"355030803000270",0
"355030803000271",0
"355030803000272",0
"355030803000273",0
"355030803000274",0
"355030803000275",0
"355030803000276",0
"355030803000277",0
"355030803000278",0
"355030803000281",0
"355030803000282",0
"355030803000283",0
"355030803000287",0
"355030803000288",0
"355030803000289",0
"355030803000290",0
"355030803000291",0
"355030803000292",0
"355030803000293",0
"355030803000294",0
"355030803000295",0
"355030803000296",0
"355030803000297",0
"355030803000298",0
"355030803000299",0
